,envios,ventas,nivel
1159,616,110,3
1160,968,132,1
1161,682,220,2
1162,2199,550,1
1163,2155,770,3
1164,1253,440,2
1165,88,44,3
1166,2045,770,2
1167,1034,528,2
1168,440,330,2
1169,880,242,3
1170,770,176,3
1171,1188,616,1
1172,88,22,1
1173,1319,484,2
1174,1166,462,2
1175,176,88,2
1176,704,286,2
1177,440,88,3
1178,682,308,1
1179,660,330,2
1180,264,88,1
1181,396,220,2
1182,0,0,3
1183,286,88,2
1184,902,198,1
1185,1869,616,3
1186,946,374,2
1187,1034,352,3
1188,374,110,2
1189,242,110,2
1190,1253,462,2
1191,2441,1012,2
1192,748,286,1
1193,1627,594,1
1194,154,88,3
1195,198,110,2
1196,0,0,1
1197,616,462,2
1198,176,110,3
1199,726,352,1
1200,0,0,2
1201,1429,352,2
1202,1188,638,2
1203,726,286,3
1204,110,44,2
1205,616,286,1
1206,528,154,3
1207,1166,176,1
1208,1605,748,2
1209,3387,1583,2
1210,2221,638,1
1211,242,132,1
1212,1144,308,3
1213,132,44,2
1214,2881,968,1
1215,4794,1979,2
1216,2815,1407,1
1217,594,198,2
1218,330,242,2
1219,990,374,2
1220,1341,528,2
1221,1957,1275,2
1222,66,66,3
1223,990,440,2
1224,638,264,2
1225,484,308,2
1226,506,132,2
1227,616,110,1
1228,3475,1671,3
1229,132,66,2
1230,2661,726,3
1231,2529,924,1
1232,176,66,1
1233,1517,506,1
1234,792,176,1
1235,0,0,1
1236,462,264,2
1237,0,0,1
1238,484,264,2
1239,1407,418,3
1240,286,110,2
1241,858,374,1
1242,352,154,1
1243,484,220,2
1244,572,198,1
1245,264,88,2
1246,220,110,2
1247,330,132,2
1248,1693,418,1
1249,3101,1122,1
1250,638,374,2
1251,484,132,2
1252,1166,418,2
1253,242,88,2
1254,3673,1363,1
1255,330,176,1
1256,1385,594,1
1257,1253,396,1
1258,154,66,3
1259,946,198,2
1260,2397,1144,1
1261,330,198,2
1262,1979,1100,1
1263,0,0,1
1264,198,66,3
1265,3782,1056,2
1266,220,132,1
1267,1144,638,2
1268,2199,1297,1
1269,2067,660,1
1270,770,264,1
1271,308,132,2
1272,528,198,2
1273,638,264,2
1274,1341,792,2
1275,1319,462,1
1276,1385,572,1
1277,220,110,2
1278,22,0,3
1279,572,374,3
1280,6531,2771,1
1281,396,176,1
1282,572,154,1
1283,682,220,1
1284,330,88,2
1285,220,22,3
1286,154,66,2
1287,242,66,3
1288,3167,1253,2
1289,528,242,1
1290,352,154,1
1291,264,176,2
1292,242,110,2
1293,396,88,2
1294,1363,572,2
1295,1847,1012,1
1296,1803,616,2
1297,506,176,2
1298,1517,858,2
1299,1759,770,2
1300,704,264,1
1301,594,198,2
1302,418,110,1
1303,836,286,1
1304,1319,748,1
1305,1297,616,2
1306,418,176,1
1307,374,154,1
1308,726,88,1
1309,462,264,1
1310,264,66,2
1311,352,44,2
1312,726,440,1
1313,528,176,2
1314,1100,616,2
1315,2925,1078,2
1316,308,132,2
1317,2419,1056,2
1318,2749,1363,2
1319,352,110,1
1320,836,440,2
1321,660,242,2
1322,440,198,3
1323,374,154,3
1324,1759,682,2
1325,0,0,1
1326,1495,528,2
1327,242,154,1
1328,594,176,1
1329,1847,902,1
1330,286,88,1
1331,572,198,2
1332,1407,506,1
1333,924,374,1
1334,154,110,1
1335,308,132,2
1336,462,308,1
1337,1627,616,2
1338,0,0,2
1339,2573,858,3
1340,132,88,1
1341,2485,682,1
1342,1012,418,3
1343,484,286,2
1344,66,0,3
1345,418,242,2
1346,242,22,1
1347,110,88,2
1348,2177,660,3
1349,704,220,2
1350,440,220,1
1351,3695,1649,1
1352,506,220,3
1353,132,66,2
1354,484,242,2
1355,1122,550,2
1356,1737,616,2
1357,1188,726,2
1358,946,572,2
1359,858,132,2
1360,330,198,3
1361,506,154,3
1362,15526,9148,1
1363,814,396,2
1364,638,176,2
1365,594,132,2
1366,2793,1451,2
1367,638,330,3
1368,726,198,2
1369,924,308,2
1370,1605,594,1
1371,154,132,3
1372,1210,396,2
1373,1012,374,1
1374,1583,616,3
1375,1232,286,1
1376,440,198,3
1377,1583,484,2
1378,616,264,1
1379,2617,1078,2
1380,0,0,2
1381,1253,550,2
1382,836,352,3
1383,0,0,1
1384,396,220,2
1385,154,88,3
1386,1232,308,1
1387,638,286,2
1388,1253,418,2
1389,770,264,1
1390,1693,814,1
1391,1627,506,2
1392,1539,638,2
1393,4684,1891,3
1394,946,286,3
1395,5058,1847,3
1396,946,264,2
1397,264,154,3
1398,1935,748,3
1399,1078,418,2
1400,0,0,2
1401,2353,968,3
1402,770,352,2
1403,3738,1232,2
1404,770,330,1
1405,0,0,2
1406,682,220,1
1407,2133,726,2
1408,946,396,3
1409,902,440,2
1410,2881,1232,2
1411,1429,880,1
1412,836,330,3
1413,550,374,2
1414,1100,374,2
1415,0,0,3
1416,858,418,2
1417,2133,836,1
1418,4948,2023,2
1419,1407,286,2
1420,264,88,2
1421,22,0,2
1422,242,132,2
1423,616,308,2
1424,594,154,1
1425,110,66,2
1426,594,264,2
1427,550,374,2
1428,330,176,2
1429,1561,330,3
1430,1232,506,1
1431,770,418,1
1432,1122,396,2
1433,550,220,2
1434,748,308,2
1435,1275,616,2
1436,506,264,2
1437,374,198,2
1438,1034,330,1
1439,484,176,2
1440,1122,550,2
1441,0,0,3
1442,396,132,2
1443,990,528,2
1444,286,176,1
1445,2441,704,2
1446,1253,352,1
1447,286,110,1
1448,506,132,2
1449,550,198,1
1450,0,0,3
1451,154,44,3
1452,242,176,1
1453,154,88,2
1454,792,154,2
1455,286,154,2
1456,264,88,3
1457,1649,748,2
1458,286,154,2
1459,528,330,2
1460,990,660,2
1461,0,0,3
1462,1034,352,1
1463,1737,528,1
1464,154,66,3
1465,264,88,2
1466,352,220,2
1467,572,220,2
1468,0,0,3
1469,484,352,2
1470,594,220,2
1471,484,220,2
1472,946,176,1
1473,528,176,3
1474,440,132,1
1475,1517,528,1
1476,1122,616,2
1477,5124,3101,2
1478,3629,1319,2
1479,1473,616,3
1480,462,220,3
1481,1341,352,3
1482,2089,1122,1
1483,264,66,2
1484,572,308,3
1485,814,418,1
1486,4134,1759,2
1487,1078,418,3
1488,418,242,1
1489,1913,814,1
1490,396,198,2
1491,352,176,2
1492,3255,1517,1
1493,330,110,2
1494,528,66,1
1495,2133,990,3
1496,66,22,3
1497,1825,748,3
1498,176,44,1
1499,858,286,1
1500,66,0,3
1501,110,66,2
1502,1429,462,1
1503,220,44,1
1504,308,132,1
1505,770,286,2
1506,1122,374,1
1507,418,286,2
1508,2221,1012,2
1509,550,220,2
1510,946,330,1
1511,484,176,1
1512,1144,374,2
1513,66,44,3
1514,1056,418,2
1515,44,0,3
1516,0,0,1
1517,748,176,3
1518,902,462,2
1519,2661,1078,1
1520,198,88,1
1521,4024,2177,3
1522,330,66,1
1523,2397,924,1
1524,330,264,2
1525,2001,924,3
1526,308,198,2
1527,1539,682,2
1528,726,176,3
1529,286,88,1
1530,0,0,1
1531,1210,528,2
1532,1100,374,2
1533,4024,1275,3
1534,264,88,2
1535,682,242,1
1536,946,374,2
1537,1649,660,1
1538,2661,792,3
1539,1781,748,1
1540,506,110,1
1541,660,418,1
1542,968,528,2
1543,1825,330,3
1544,22,0,3
1545,1473,418,1
1546,2551,814,2
